id	label	DeB_min	DeB_max	sents	R_faith	R_relev	R_ctxP
A01	YES	0.00	0.99	2	1.00	0.00	0.25
A02	YES	0.95	0.95	1	1.00	0.00	0.50
oose02	NO	0.97	0.97	1	1.00	0.65	0.00
F01	YES	0.31	0.30	1	1.00	0.66	1.00
F02	NO	0.66	0.98	2	0.80	0.80	1.00
F03	YES	0.95	0.97	2	1.00	0.80	0.89
F04	PARTIAL	0.92	0.96	2	1.00	0.71	0.87
A03	YES	0.00	0.99	2	1.00	0.00	1.00
F05	YES	0.78	1.00	2	1.00	0.85	1.00
F06	PARTIAL	0.01	0.27	3	1.00	0.87	1.00
F07	PARTIAL	0.04	0.97	2	0.75	1.00	1.00
oosz03	NO	0.12	0.99	3	0.71	0.00	0.00
A04	YES	0.96	0.99	2	1.00	0.97	0.95
C01	YES	0.85	0.95	2	1.00	1.00	1.00
C02	YES	0.99	0.99	1	1.00	0.61	0.00
C03	YES	0.98	0.98	1	1.00	0.72	0.83
C04	YES	0.23	0.29	2	1.00	0.99	1.00
F08	YES	0.99	0.99	1	1.00	0.92	1.00
F09	YES	0.87	0.99	2	1.00	0.90	0.89
C05	YES	0.97	0.97	1	0.50	0.99	0.00
F10	PARTIAL	0.64	0.64	1	1.00	0.70	1.00
isu01	NO	0.18	0.18	1	0.62	0.84	0.00
